condition,n_attaques,n_pool,n_items,exactitude,top1,top1_bas,top1_haut,top10,top10_bas,top10_haut,rang_median,top1_hasard,top1_intra_segment,top1_intra_segment_bas,top1_intra_segment_haut,rang_intra_segment_median,hasard_intra_segment,auc_intra_segment,auc_intra_segment_bas,auc_intra_segment_haut,n_avec_rival,taille_segment_mediane,bloc_items,segmentation,n_questions_demographiques,n_cellules_demographiques_distinctes,partage_demographique_median,part_vecteurs_distincts,hamming_moyen_meme_segment,hamming_moyen_autre_segment,part_personne_echelle_taux,part_segment_echelle_taux,part_population_echelle_taux,bits_total,bits_segment,bits_personne,part_personne_echelle_bits,part_segment_echelle_bits,niveau_segment_utilise,controle_statut,controle_detail
N1a marginales independantes de population,2058.0,,60.0,,,,,,,,,,,,,,,0.5046161321671526,0.4839589407191448,0.5247874149659864,,,rival_demographique,plus proche voisin demographique,,,,,,,,,,,,,,,,,
N1b vecteur humain reel d'une autre personne (population),2058.0,,60.0,,,,,,,,,,,,,,,0.4970845481049563,0.4773991739552964,0.5177356656948494,,,rival_demographique,plus proche voisin demographique,,,,,,,,,,,,,,,,,
N2a vecteur humain reel d'une autre personne du meme segment,2058.0,,60.0,,,,,,,,,,,,,,,0.5012147716229349,0.4803146258503401,0.521865889212828,,,rival_demographique,plus proche voisin demographique,,,,,,,,,,,,,,,,,
N2b jumeau Demographics Only (segment seul),2058.0,,60.0,,,,,,,,,,,,,,,0.7339650145772595,0.7162293488824101,0.7529154518950437,,,rival_demographique,plus proche voisin demographique,,,,,,,,,,,,,,,,,
N3 jumeau JSON Persona - GPT4.1 (persona individuelle),2058.0,,60.0,,,,,,,,,,,,,,,0.8882410106899903,0.8756013119533528,0.9011175898931001,,,rival_demographique,plus proche voisin demographique,,,,,,,,,,,,,,,,,
plafond : retest humain vagues 1-3,2058.0,,60.0,,,,,,,,,,,,,,,0.988824101068999,0.9842079689018465,0.9929543245869776,,,rival_demographique,plus proche voisin demographique,,,,,,,,,,,,,,,,,
N2b jumeau Demographics Only (segment seul),,,60.0,,,,,,,,,,,,,,,,,,,,echangeabilite,S_gra,,,,0.9689018464528668,0.4039403803523509,0.4052865711522376,,,,,,,,,,,
N3 jumeau JSON Persona - GPT4.1 (persona individuelle),,,60.0,,,,,,,,,,,,,,,,,,,,echangeabilite,S_gra,,,,0.9956268221574344,0.4888430754871076,0.4882036606490111,,,,,,,,,,,
plafond : retest humain vagues 1-3,,,60.0,,,,,,,,,,,,,,,,,,,,echangeabilite,S_gra,,,,1.0,0.5645088087737721,0.5685092011039939,,,,,,,,,,,
decomposition (niveau segment = jumeau segment-seul),,,,,0.2066812439261419,,,,,,,0.00048590864917395527,,,,,,,,,,,decomposition,S_gra,,,,,,,0.8958504760785236,0.10179851886681555,0.002351005054660867,8.732506643873482,5.469234793667656,3.2632718502058253,0.3736924554755717,0.6263075445244283,0.021525753158406217,,
decomposition (niveau segment = vecteur humain du meme segment),,,,,0.2066812439261419,,,,,,,0.00048590864917395527,,,,,,,,,,,decomposition,S_gra,,,,,,,0.9929469848360174,0.004702010109321735,0.002351005054660867,8.732506643873482,1.584962500721156,7.1475441431523254,0.8184985634298798,0.18150143657012022,0.0014577259475218659,,
decomposition (niveau segment = plafond theorique E[1/|segment|]),,,,,0.2066812439261419,,,,,,,0.00048590864917395527,,,,,,,,,,,decomposition,S_gra,,,,,,,0.9082662286352988,0.08938276631004041,0.002351005054660867,8.732506643873482,5.286103407231283,3.4464032366421984,0.3946636833148146,0.6053363166851854,0.018959649975692754,,
N3 jumeau JSON Persona - GPT4.1 (persona individuelle),,,,,,,,,,,,,,,,,,,,,,,controle_interpretabilite,S_gra,,,,,,,,,,,,,,,,passe,
N2a vecteur humain reel d'une autre personne du meme segment,,,,,,,,,,,,,,,,,,,,,,,controle_interpretabilite,S_gra,,,,,,,,,,,,,,,,echoue,"'N2a vecteur humain reel d'une autre personne du meme segment' NE PASSE PAS le controle de fidelite prealable.
  bassin reellement attaque : 2058 personnes, 60 items
  top-1 candidat            : 0.15 % [0.00 ; 0.34]
  baseline Demographics Only (meme bassin, recalculee ici) : 2.15 % [1.59 ; 2.79]
  hasard (1 / bassin)       : 0.05 %
Les IC se chevauchent (ou le candidat est en dessous) : ce pipel"
N1b vecteur humain reel d'une autre personne (population),,,,,,,,,,,,,,,,,,,,,,,controle_interpretabilite,S_gra,,,,,,,,,,,,,,,,echoue,"'N1b vecteur humain reel d'une autre personne (population)' NE PASSE PAS le controle de fidelite prealable.
  bassin reellement attaque : 2058 personnes, 60 items
  top-1 candidat            : 0.00 % [0.00 ; 0.00]
  baseline Demographics Only (meme bassin, recalculee ici) : 2.15 % [1.59 ; 2.79]
  hasard (1 / bassin)       : 0.05 %
Les IC se chevauchent (ou le candidat est en dessous) : ce pipeline"
N1a marginales independantes de population,,,,,,,,,,,,,,,,,,,,,,,controle_interpretabilite,S_gra,,,,,,,,,,,,,,,,echoue,"'N1a marginales independantes de population' NE PASSE PAS le controle de fidelite prealable.
  bassin reellement attaque : 2058 personnes, 60 items
  top-1 candidat            : 0.00 % [0.00 ; 0.00]
  baseline Demographics Only (meme bassin, recalculee ici) : 2.15 % [1.59 ; 2.79]
  hasard (1 / bassin)       : 0.05 %
Les IC se chevauchent (ou le candidat est en dessous) : ce pipeline ne transporte "
