condition,modalites_employees_sur_50,taille_par_camp,noeuds_droite_brut,noeuds_gauche_brut,densite_droite_brut,densite_gauche_brut,ratio_brut,ic_bas_brut,ic_haut_brut,noeuds_droite_egalise,noeuds_gauche_egalise,densite_droite_egalise,densite_gauche_egalise,ratio_egalise,ic_bas_egalise,ic_haut_egalise,noeuds_droite_sans_neutre,noeuds_gauche_sans_neutre,densite_droite_sans_neutre,densite_gauche_sans_neutre,ratio_sans_neutre,ic_bas_sans_neutre,ic_haut_sans_neutre,ecart_egalise_moins_brut,ecart_aux_humains_egalise,ecart_aux_humains_brut,depasse_le_plancher_de_bruit,plancher_de_bruit_vague4
humains vagues 1 a 3,50,540,33,17,0.079169,0.146672,0.539825,0.531009,0.549394,17,17,0.131135,0.146672,0.894187,0.873734,0.914210,25,15,0.104707,0.180632,0.579755,0.566974,0.592742,0.354362,0.000000,0.000000,False,0.041189
humains vague 4,50,540,33,17,0.084281,0.148563,0.567372,0.555505,0.577680,17,17,0.138943,0.148563,0.935376,0.911577,0.955203,25,15,0.109998,0.182280,0.603563,0.587867,0.620260,0.368004,0.041189,0.027547,False,0.041189
gpt41mini_defaut,49,540,33,17,0.147059,0.281057,0.523246,0.518594,0.528180,17,17,0.226962,0.281057,0.807547,0.800161,0.815318,25,15,0.176128,0.356943,0.493445,0.489361,0.498493,0.284301,-0.086640,-0.016579,True,0.041189
gpt41mini_demo_seules,38,540,33,17,0.051212,0.244016,0.209881,0.207327,0.212630,17,17,0.061283,0.244016,0.251154,0.247737,0.254704,25,15,0.065682,0.301355,0.217964,0.215520,0.220554,0.041273,-0.643033,-0.329944,True,0.041189
gpt41mini_demo_seules_spec,38,540,33,17,0.051210,0.243664,0.210182,0.206372,0.213355,17,17,0.061283,0.243664,0.251526,0.246872,0.255500,25,15,0.065671,0.300929,0.218243,0.214399,0.221436,0.041344,-0.642661,-0.329643,True,0.041189
gpt41mini_texte,49,540,33,17,0.147026,0.281068,0.523108,0.517973,0.528308,17,17,0.226944,0.281068,0.807452,0.800687,0.815713,25,15,0.176099,0.356956,0.493345,0.488875,0.498412,0.284344,-0.086735,-0.016717,True,0.041189
gpt41mini_texte_temp_defaut,50,540,33,17,0.135943,0.271049,0.501551,0.497684,0.505603,17,17,0.223370,0.271049,0.824112,0.816227,0.832011,25,15,0.164333,0.343441,0.478499,0.474276,0.483033,0.322561,-0.070075,-0.038274,True,0.041189
gpt41mini_texte_raisonnement,50,540,33,17,0.133049,0.303613,0.438232,0.433254,0.443421,17,17,0.197196,0.303613,0.649521,0.641498,0.657445,25,15,0.152363,0.380295,0.400656,0.396617,0.404810,0.211289,-0.244666,-0.101593,True,0.041189
gpt41mini_texte_repetition,50,540,33,17,0.139724,0.307586,0.454267,0.450759,0.457978,17,17,0.208472,0.307586,0.677779,0.672638,0.683461,25,15,0.150426,0.385005,0.390717,0.387568,0.394128,0.223512,-0.216408,-0.085558,True,0.041189
gpt41mini_json,48,540,33,17,0.166661,0.366450,0.454808,0.450306,0.459074,17,17,0.253279,0.366450,0.691182,0.685786,0.696886,25,15,0.198009,0.460449,0.430045,0.425798,0.434379,0.236374,-0.203005,-0.085017,True,0.041189
gpt41mini_json_predout,49,540,33,17,0.147805,0.252840,0.584598,0.578223,0.589863,17,17,0.180684,0.252840,0.714641,0.706763,0.721622,25,15,0.155153,0.319500,0.485626,0.480284,0.490396,0.130043,-0.179546,0.044773,True,0.041189
gpt41mini_resume,50,540,33,17,0.104163,0.253105,0.411561,0.404845,0.417774,17,17,0.132935,0.253105,0.525249,0.515411,0.534654,25,15,0.120844,0.307222,0.393366,0.386480,0.399919,0.113688,-0.368938,-0.128264,True,0.041189
gpt41mini_resume_json,50,540,33,17,0.116911,0.193334,0.604767,0.594093,0.616238,17,17,0.126320,0.193334,0.653441,0.640844,0.665741,25,15,0.135956,0.241516,0.562979,0.552918,0.572756,0.048674,-0.240746,0.064942,True,0.041189
gpt41mini_finetune500,50,540,33,17,0.180815,0.288897,0.626162,0.600078,0.656633,17,17,0.185988,0.288897,0.644067,0.621271,0.672827,25,15,0.229844,0.320999,0.716290,0.696825,0.745187,0.017905,-0.250120,0.086337,True,0.041189
