item,camp,identite,n_modalites,distribution_essai1,distribution_essai2,identique,tv_essais,tv_plancher_local40,tv_plancher_humain,ecart_tv_vs_humain,max_ecart_modalite,variation_au_moins_5pp,modes_essai1,modes_essai2,modes_identiques,modes_recouvrants,classement_identique,rho_spearman_rangs,gs_essai1,gs_essai2,delta_gs
abhlth,centre,adversaire,2,"[0.85, 0.15]","[0.87, 0.13]",false,0.020000,0.000000,0.000000,0.020000,0.020000,false,Yes,Yes,true,true,true,1.000000,0.255000,0.226200,-0.028800
partfull,centre,adversaire,3,"[0.6, 0.2, 0.2]","[0.7, 0.15, 0.15]",false,0.100000,0.000000,0.029703,0.070297,0.100000,true,Full-Time,Full-Time,true,true,true,1.000000,0.560000,0.465000,-0.095000
conlabor,droite,adversaire,3,"[0.12, 0.44, 0.44]","[0.12, 0.42, 0.46]",false,0.020000,0.000000,0.048193,-0.028193,0.020000,false,Only some | Hardly any,Hardly any,false,true,false,0.866025,0.598400,0.597600,-0.000800
parsol,droite,journaliste,5,"[0.35, 0.3, 0.2, 0.1, 0.05]","[0.32, 0.35, 0.18, 0.1, 0.05]",false,0.050000,0.000000,0.048193,0.001807,0.050000,true,Much better,Somewhat better,false,false,false,0.900000,0.735000,0.730200,-0.004800
life,gauche,adversaire,3,"[0.5, 0.42, 0.08]","[0.45, 0.45, 0.1]",false,0.050000,0.000000,0.021583,0.028417,0.050000,true,Exciting,Exciting | Routine,false,true,false,0.866025,0.567200,0.585000,0.017800
natsci,gauche,adversaire,3,"[0.55, 0.35, 0.1]","[0.55, 0.35, 0.1]",true,0.000000,0.000000,0.031175,-0.031175,0.000000,false,Too little,Too little,true,true,true,1.000000,0.565000,0.565000,0.000000
jew,gauche,journaliste,5,"[0.02, 0.05, 0.12, 0.04, 0.77]","[0.02, 0.06, 0.09, 0.02, 0.81]",false,0.050000,0.000000,0.021583,0.028417,0.040000,false,Inapplicable (not Jewish),Inapplicable (not Jewish),true,true,false,0.974679,0.388200,0.331400,-0.056800
natpark,gauche,journaliste,3,"[0.4, 0.45, 0.15]","[0.45, 0.4, 0.15]",false,0.050000,0.000000,0.004796,0.045204,0.050000,true,About right,Too little,false,false,false,0.500000,0.615000,0.615000,0.000000
racwork,gauche,journaliste,7,"[0.25, 0.3, 0.2, 0.1, 0.05, 0.05, 0.05]","[0.35, 0.3, 0.2, 0.08, 0.02, 0.03, 0.02]",false,0.100000,0.000000,0.043165,0.056835,0.100000,true,Mostly white,All white,false,false,false,0.934947,0.790000,0.739400,-0.050600
spkcom/y,gauche,journaliste,2,"[0.85, 0.15]","[0.94, 0.06]",false,0.090000,0.000000,0.033573,0.056427,0.090000,true,"Yes, allowed to speak","Yes, allowed to speak",true,true,true,1.000000,0.255000,0.112800,-0.142200
