source,famille,statistique,taille,s0_extrapole,loi_c,loi_p,loi_r2,rapport_effet_300_sur_1052,courbe_stable_en_N,tau_etoile_holm3,statut
B0 segment,tirage dans le segment,A,1500,0.004082918229295571,0.010659188083807135,0.13121582767579862,0.984644865356268,0.5846422244010511,False,,exige une seconde population
B0 segment,tirage dans le segment,A,2000,0.003931667136845327,0.010659188083807135,0.13121582767579862,0.984644865356268,0.5846422244010511,False,,exige une seconde population
B0 segment,tirage dans le segment,A,3000,0.003727956036707264,0.010659188083807135,0.13121582767579862,0.984644865356268,0.5846422244010511,False,,exige une seconde population
B0 segment,tirage dans le segment,A,5000,0.00348626756044253,0.010659188083807135,0.13121582767579862,0.984644865356268,0.5846422244010511,False,,exige une seconde population
B0 segment,tirage dans le segment,B,1500,0.0014054672589732717,0.007546344196302337,0.2298157758772803,0.8915898958858782,0.8436107860031529,True,0.0843,"[PROBABLE], extrapolation"
B0 segment,tirage dans le segment,B,2000,0.0013155514580735727,0.007546344196302337,0.2298157758772803,0.8915898958858782,0.8436107860031529,True,0.07885,"[PROBABLE], extrapolation"
B0 segment,tirage dans le segment,B,3000,0.0011985034566844364,0.007546344196302337,0.2298157758772803,0.8915898958858782,0.8436107860031529,True,0.07175000000000001,"[PROBABLE], extrapolation"
B0 segment,tirage dans le segment,B,5000,0.001065749035855595,0.007546344196302337,0.2298157758772803,0.8915898958858782,0.8436107860031529,True,0.06375,"[PROBABLE], extrapolation"
B0 segment,tirage dans le segment,C,1500,0.0007799182828793153,0.025773310870958622,0.47829894893321917,0.9978809316369974,1.4154314861655435,False,,exige une seconde population
B0 segment,tirage dans le segment,C,2000,0.0006796589415302289,0.025773310870958622,0.47829894893321917,0.9978809316369974,1.4154314861655435,False,,exige une seconde population
B0 segment,tirage dans le segment,C,3000,0.0005598436681501958,0.025773310870958622,0.47829894893321917,0.9978809316369974,1.4154314861655435,False,,exige une seconde population
B0 segment,tirage dans le segment,C,5000,0.0004384870249727974,0.025773310870958622,0.47829894893321917,0.9978809316369974,1.4154314861655435,False,,exige une seconde population
C2,modele a etiquette,A,1500,0.004082918229295571,0.010659188083807135,0.13121582767579862,0.984644865356268,0.8963246575876271,True,0.0465,"[PROBABLE], extrapolation"
C2,modele a etiquette,A,2000,0.003931667136845327,0.010659188083807135,0.13121582767579862,0.984644865356268,0.8963246575876271,True,0.04505,"[PROBABLE], extrapolation"
C2,modele a etiquette,A,3000,0.003727956036707264,0.010659188083807135,0.13121582767579862,0.984644865356268,0.8963246575876271,True,0.043000000000000003,"[PROBABLE], extrapolation"
C2,modele a etiquette,A,5000,0.00348626756044253,0.010659188083807135,0.13121582767579862,0.984644865356268,0.8963246575876271,True,0.040600000000000004,"[PROBABLE], extrapolation"
C2,modele a etiquette,B,1500,0.0014054672589732717,0.007546344196302337,0.2298157758772803,0.8915898958858782,0.8798888933494977,True,0.0799,"[PROBABLE], extrapolation"
C2,modele a etiquette,B,2000,0.0013155514580735727,0.007546344196302337,0.2298157758772803,0.8915898958858782,0.8798888933494977,True,0.07655,"[PROBABLE], extrapolation"
C2,modele a etiquette,B,3000,0.0011985034566844364,0.007546344196302337,0.2298157758772803,0.8915898958858782,0.8798888933494977,True,0.0721,"[PROBABLE], extrapolation"
C2,modele a etiquette,B,5000,0.001065749035855595,0.007546344196302337,0.2298157758772803,0.8915898958858782,0.8798888933494977,True,0.06675,"[PROBABLE], extrapolation"
C2,modele a etiquette,C,1500,0.0007799182828793153,0.025773310870958622,0.47829894893321917,0.9978809316369974,0.8469218624134036,True,0.03475,"[PROBABLE], extrapolation"
C2,modele a etiquette,C,2000,0.0006796589415302289,0.025773310870958622,0.47829894893321917,0.9978809316369974,0.8469218624134036,True,0.032,"[PROBABLE], extrapolation"
C2,modele a etiquette,C,3000,0.0005598436681501958,0.025773310870958622,0.47829894893321917,0.9978809316369974,0.8469218624134036,True,0.0284,"[PROBABLE], extrapolation"
C2,modele a etiquette,C,5000,0.0004384870249727974,0.025773310870958622,0.47829894893321917,0.9978809316369974,0.8469218624134036,True,0.0244,"[PROBABLE], extrapolation"
C3,modele riche,A,1500,0.004082918229295571,0.010659188083807135,0.13121582767579862,0.984644865356268,0.6374524362973089,False,,exige une seconde population
C3,modele riche,A,2000,0.003931667136845327,0.010659188083807135,0.13121582767579862,0.984644865356268,0.6374524362973089,False,,exige une seconde population
C3,modele riche,A,3000,0.003727956036707264,0.010659188083807135,0.13121582767579862,0.984644865356268,0.6374524362973089,False,,exige une seconde population
C3,modele riche,A,5000,0.00348626756044253,0.010659188083807135,0.13121582767579862,0.984644865356268,0.6374524362973089,False,,exige une seconde population
C3,modele riche,B,1500,0.0014054672589732717,0.007546344196302337,0.2298157758772803,0.8915898958858782,0.8000374708443462,True,0.07735,"[PROBABLE], extrapolation"
C3,modele riche,B,2000,0.0013155514580735727,0.007546344196302337,0.2298157758772803,0.8915898958858782,0.8000374708443462,True,0.07455,"[PROBABLE], extrapolation"
C3,modele riche,B,3000,0.0011985034566844364,0.007546344196302337,0.2298157758772803,0.8915898958858782,0.8000374708443462,True,0.0708,"[PROBABLE], extrapolation"
C3,modele riche,B,5000,0.001065749035855595,0.007546344196302337,0.2298157758772803,0.8915898958858782,0.8000374708443462,True,0.06625,"[PROBABLE], extrapolation"
C3,modele riche,C,1500,0.0007799182828793153,0.025773310870958622,0.47829894893321917,0.9978809316369974,1.1752937595129727,True,0.13155,"[PROBABLE], extrapolation"
C3,modele riche,C,2000,0.0006796589415302289,0.025773310870958622,0.47829894893321917,0.9978809316369974,1.1752937595129727,True,0.12625,"[PROBABLE], extrapolation"
C3,modele riche,C,3000,0.0005598436681501958,0.025773310870958622,0.47829894893321917,0.9978809316369974,1.1752937595129727,True,0.11950000000000001,"[PROBABLE], extrapolation"
C3,modele riche,C,5000,0.0004384870249727974,0.025773310870958622,0.47829894893321917,0.9978809316369974,1.1752937595129727,True,0.112,"[PROBABLE], extrapolation"
E2 regression contexte tirage,imputation par tirage,A,1500,0.004082918229295571,0.010659188083807135,0.13121582767579862,0.984644865356268,0.5009068962743428,False,,exige une seconde population
E2 regression contexte tirage,imputation par tirage,A,2000,0.003931667136845327,0.010659188083807135,0.13121582767579862,0.984644865356268,0.5009068962743428,False,,exige une seconde population
E2 regression contexte tirage,imputation par tirage,A,3000,0.003727956036707264,0.010659188083807135,0.13121582767579862,0.984644865356268,0.5009068962743428,False,,exige une seconde population
E2 regression contexte tirage,imputation par tirage,A,5000,0.00348626756044253,0.010659188083807135,0.13121582767579862,0.984644865356268,0.5009068962743428,False,,exige une seconde population
E2 regression contexte tirage,imputation par tirage,B,1500,0.0014054672589732717,0.007546344196302337,0.2298157758772803,0.8915898958858782,1.0478654279428021,True,0.32615,"[PROBABLE], extrapolation"
