camp,tirage,var_pc1,var_pc2,n_axes_50,n_axes_80,meilleur_k,silhouette,sil_k2,sil_k3,sil_k4,sil_k5,sil_k6,sil_k7,sil_k8
gauche,0,0.108732,0.083322,13,36,2,0.068993,0.068993,0.053464,0.035927,0.028949,0.032091,0.019926,0.017490
gauche,1,0.119402,0.078220,13,35,2,0.072185,0.072185,0.056192,0.029290,0.025128,0.020840,0.018438,0.011752
gauche,2,0.118324,0.084325,13,35,2,0.082453,0.082453,0.050431,0.040198,0.034016,0.021481,0.025025,0.032140
gauche,3,0.107114,0.081370,14,36,2,0.081668,0.081668,0.041667,0.030440,0.026208,0.020778,0.023959,0.017355
gauche,4,0.113920,0.084260,13,35,2,0.076695,0.076695,0.046556,0.046833,0.029047,0.017329,0.034923,0.018833
gauche,5,0.113853,0.080350,14,36,2,0.079982,0.079982,0.045185,0.035116,0.029571,0.020685,0.018665,0.026893
gauche,6,0.115319,0.085208,13,36,2,0.069843,0.069843,0.045158,0.034627,0.027811,0.028047,0.029951,0.018314
gauche,7,0.115860,0.079720,13,35,2,0.083439,0.083439,0.047235,0.041376,0.020864,0.028102,0.029651,0.024304
gauche,8,0.114687,0.084993,13,36,2,0.089170,0.089170,0.044099,0.039387,0.032496,0.025058,0.029196,0.019087
gauche,9,0.114528,0.081157,13,36,2,0.072130,0.072130,0.045988,0.035291,0.032474,0.031357,0.014915,0.018211
gauche,10,0.116463,0.075753,13,36,2,0.085441,0.085441,0.056688,0.034049,0.036171,0.021013,0.018876,0.020278
gauche,11,0.112597,0.086208,13,36,2,0.076113,0.076113,0.040783,0.035429,0.035708,0.030372,0.027983,0.027385
gauche,12,0.104624,0.085157,14,36,2,0.080655,0.080655,0.040267,0.040302,0.019085,0.029801,0.028954,0.025545
gauche,13,0.113510,0.081646,14,36,2,0.084437,0.084437,0.040066,0.031301,0.040428,0.037160,0.021543,0.019709
gauche,14,0.116079,0.082092,13,36,2,0.084820,0.084820,0.041382,0.044064,0.025918,0.029735,0.028584,0.015537
gauche,15,0.119866,0.076357,13,36,2,0.073854,0.073854,0.054018,0.042370,0.030088,0.030906,0.027623,0.025474
gauche,16,0.106426,0.076842,14,36,2,0.073731,0.073731,0.050387,0.037687,0.032052,0.032953,0.021717,0.021413
gauche,17,0.118821,0.078248,13,36,2,0.070601,0.070601,0.042633,0.039968,0.028747,0.020400,0.034285,0.015502
gauche,18,0.108609,0.074946,14,36,2,0.077197,0.077197,0.043487,0.031864,0.028759,0.028327,0.027227,0.027351
gauche,19,0.113605,0.083146,14,36,2,0.085725,0.085725,0.042677,0.035904,0.035692,0.029194,0.030856,0.020470
gauche,20,0.108968,0.078021,14,36,2,0.071077,0.071077,0.043643,0.033942,0.028033,0.029764,0.020855,0.025930
gauche,21,0.115639,0.086612,13,36,2,0.081075,0.081075,0.048939,0.029752,0.032728,0.025053,0.028232,0.030034
