horizon_ans,predicteur,mesure,valeur,ic_bas,ic_haut
2,persistance,exactitude globale,0.7207495282495283,0.7000716072067493,0.7407168722176947
2,jumeau IA,exactitude globale,0.5280128898878899,0.5084854239533633,0.5487324515286344
2,jumeau IA,exactitude sur cellules changees,0.4021308523409364,0.36315300925925925,0.4400365646258504
2,mode du segment,exactitude globale,0.64052842990343,0.6185063186060927,0.6622717282717283
2,mode du segment,exactitude sur cellules changees,0.4765572895824996,0.4341415846933453,0.5211971352467928
2,regle combinee,exactitude globale,0.6829128857253857,0.6623531596044799,0.7039394988299825
2,jumeau IA,AUC desaccord -> changement,0.5762011691338891,0.5466907186698429,0.6034791837904487
4,persistance,exactitude globale,0.7153056665556666,0.6951571998771675,0.7353847557081339
4,jumeau IA,exactitude globale,0.5267326423576423,0.5066890263527317,0.5485758203287663
4,jumeau IA,exactitude sur cellules changees,0.3915085377585378,0.3560991740522991,0.42585641579691236
4,mode du segment,exactitude globale,0.6442922008547007,0.6226338429109288,0.6668333771080251
4,mode du segment,exactitude sur cellules changees,0.45596410533910536,0.4135927069845352,0.49520005231661074
4,regle combinee,exactitude globale,0.6897042540792541,0.6694095446028011,0.7126308626763531
4,jumeau IA,AUC desaccord -> changement,0.581636466011466,0.5521896879261138,0.6143047417311324
