item,famille,n_modalites,modalites,oriente,sens_codeur_A,niveau_codeur_A,justification_codeur_A,sens_codeur_B,ecart_position_droite_moins_gauche,accord_A_B
natspac/y,depenses publiques (nat*),3,too little | about right | too much,True,1,[HYPOTHESE],"meme regle uniforme, mais le sujet est faiblement ideologique ; exclu de l'analyse de sensibilite stricte",1,0.023320,True
natenvir/y,depenses publiques (nat*),3,too little | about right | too much,True,1,[PROBABLE],regle uniforme de la batterie nat* : « too little » est le pole de gauche ; sujet dont l'alignement partisan est documente,1,0.375990,True
natheal/y,depenses publiques (nat*),3,too little | about right | too much,True,1,[PROBABLE],regle uniforme de la batterie nat* : « too little » est le pole de gauche ; sujet dont l'alignement partisan est documente,1,0.151122,True
natcity/y,depenses publiques (nat*),3,too little | about right | too much,True,1,[PROBABLE],regle uniforme de la batterie nat* : « too little » est le pole de gauche ; sujet dont l'alignement partisan est documente,1,0.280330,True
natdrug/y,depenses publiques (nat*),3,too little | about right | too much,True,1,[PROBABLE],regle uniforme de la batterie nat* : « too little » est le pole de gauche ; sujet dont l'alignement partisan est documente,1,0.142462,True
nateduc/y,depenses publiques (nat*),3,too little | about right | too much,True,1,[PROBABLE],regle uniforme de la batterie nat* : « too little » est le pole de gauche ; sujet dont l'alignement partisan est documente,1,0.176754,True
natrace/y,depenses publiques (nat*),3,too little | about right | too much,True,1,[PROBABLE],regle uniforme de la batterie nat* : « too little » est le pole de gauche ; sujet dont l'alignement partisan est documente,1,0.463140,True
natarms/y,depenses publiques (nat*),3,too little | about right | too much,True,-1,[PROBABLE],"seule exception a la regle : sur la defense nationale, « too much » est le pole de gauche",-1,-0.386420,True
nataid/y,depenses publiques (nat*),3,too little | about right | too much,True,1,[PROBABLE],regle uniforme de la batterie nat* : « too little » est le pole de gauche ; sujet dont l'alignement partisan est documente,1,0.207337,True
natfare/y,depenses publiques (nat*),3,too little | about right | too much,True,1,[PROBABLE],regle uniforme de la batterie nat* : « too little » est le pole de gauche ; sujet dont l'alignement partisan est documente,1,0.252860,True
