bloc,serie,n_vecteurs_distincts,accord_entre_personnes,items_lus_moyen,n,top1,top1_bas,top1_haut,top10,hasard,top1_segment,accord_vrai,accord_meme_segment,accord_inconnu,apport_individuel_pts
degenerescence,B,120.0,0.5066503267973856,60.0,,,,,,,,,,,
degenerescence,C,120.0,0.7023482726423903,60.0,,,,,,,,,,,
degenerescence,M,117.0,0.6801361057243409,59.71666666666667,,,,,,,,,,,
degenerescence,G,120.0,0.5092436974789916,60.0,,,,,,,,,,,
degenerescence,P,120.0,0.4977777777777778,60.0,,,,,,,,,,,
degenerescence,Demographics Only - GPT4.1-mini,117.0,0.6003804855275444,60.0,,,,,,,,,,,
degenerescence,JSON Persona - GPT4.1,120.0,0.5138211951447246,60.0,,,,,,,,,,,
degenerescence,JSON Persona - GPT4.1-mini,98.0,0.33811498045545907,48.483333333333334,,,,,,,,,,,
degenerescence,Text Persona (Default Temperature) - GPT4.1-mini,120.0,0.5329855275443511,60.0,,,,,,,,,,,
degenerescence,Text Persona (Reasoning) - GPT4.1-mini,120.0,0.4813958916900093,60.0,,,,,,,,,,,
degenerescence,Text Persona (Repeating Questions) - GPT4.1-mini,120.0,0.5207936507936508,60.0,,,,,,,,,,,
degenerescence,Text Persona - GPT4.1-mini,120.0,0.5564379084967321,60.0,,,,,,,,,,,
degenerescence,Text Persona - Gemini-Flash2.5,120.0,0.48311858076563957,60.0,,,,,,,,,,,
fidelite_vs_humain_pool120,B,,,,120.0,0.007916666666666666,0.0,0.021666666666666664,0.09666666666666668,0.008333333333333333,,,,,
fidelite_vs_humain_pool120,C,,,,120.0,0.0029166666666666664,0.0,0.008749999999999999,0.10916666666666666,0.008333333333333333,,,,,
fidelite_vs_humain_pool120,M,,,,120.0,0.0029166666666666664,0.0,0.008749999999999999,0.051250000000000004,0.008333333333333333,,,,,
fidelite_vs_humain_pool120,G,,,,120.0,0.0,0.0,0.0,0.09041666666666667,0.008333333333333333,,,,,
fidelite_vs_humain_pool120,P,,,,120.0,0.005416666666666667,0.0,0.01625,0.14791666666666667,0.008333333333333333,,,,,
fidelite_vs_humain_pool120,Demographics Only - GPT4.1-mini,,,,120.0,0.13291666666666666,0.075,0.19791666666666666,0.38833333333333336,0.008333333333333333,,,,,
fidelite_vs_humain_pool120,JSON Persona - GPT4.1,,,,120.0,0.3891666666666667,0.3095833333333333,0.47084374999999995,0.7133333333333333,0.008333333333333333,,,,,
fidelite_vs_humain_pool120,JSON Persona - GPT4.1-mini,,,,97.0,0.2603092783505155,0.17783505154639176,0.3463917525773195,0.5536082474226804,0.008333333333333333,,,,,
fidelite_vs_humain_pool120,Text Persona (Default Temperature) - GPT4.1-mini,,,,120.0,0.22291666666666668,0.1491666666666667,0.3,0.5433333333333332,0.008333333333333333,,,,,
fidelite_vs_humain_pool120,Text Persona (Reasoning) - GPT4.1-mini,,,,120.0,0.22999999999999998,0.15666666666666668,0.3050104166666666,0.5220833333333333,0.008333333333333333,,,,,
fidelite_vs_humain_pool120,Text Persona (Repeating Questions) - GPT4.1-mini,,,,120.0,0.20166666666666663,0.13291666666666668,0.2745833333333333,0.5474999999999999,0.008333333333333333,,,,,
fidelite_vs_humain_pool120,Text Persona - GPT4.1-mini,,,,120.0,0.2125,0.14457291666666666,0.2879270833333333,0.5091666666666667,0.008333333333333333,,,,,
fidelite_vs_humain_pool120,Text Persona - Gemini-Flash2.5,,,,120.0,0.26458333333333334,0.19291666666666665,0.3466770833333333,0.6279166666666666,0.008333333333333333,,,,,
mesureA_pool120,B<->M,,,,120.0,0.005416666666666667,0.0,0.014999999999999998,0.10270833333333333,0.008333333333333333,0.19291666666666665,,,,
mesureA_pool120,B<->G,,,,120.0,0.009375,0.0,0.023958333333333335,0.124375,0.008333333333333333,0.1675,,,,
mesureA_pool120,B<->P,,,,120.0,0.024583333333333336,0.005,0.0475,0.14979166666666668,0.008333333333333333,0.22437500000000002,,,,
mesureA_pool120,B<->C,,,,120.0,0.025625000000000002,0.006458333333333333,0.048749999999999995,0.13041666666666668,0.008333333333333333,0.22083333333333333,,,,
mesureB_pool120,decodage seul (T=0 vs temperature par defaut),,,,120.0,0.9333333333333333,0.8929166666666667,0.9683333333333334,0.9958333333333333,0.008333333333333333,0.8735416666666667,,,,
mesureB_pool120,gabarit seul (repetition des questions),,,,120.0,0.8710416666666667,0.8243750000000001,0.9131302083333334,0.9864583333333333,0.008333333333333333,0.8762500000000001,,,,
mesureB_pool120,raisonnement seul (reasoning active),,,,120.0,0.5354166666666667,0.44978645833333336,0.6170833333333333,0.8408333333333334,0.008333333333333333,0.7308333333333333,,,,
mesureB_pool120,modele seul (GPT4.1-mini vs Gemini-Flash2.5),,,,120.0,0.45854166666666657,0.3897864583333333,0.5302135416666666,0.8095833333333332,0.008333333333333333,0.6822916666666666,,,,
mesureB_pool120,"format de persona seul (texte vs JSON, meme modele mini)",,,,97.0,0.48737113402061855,0.39819587628865977,0.5747487113402061,0.8432989690721651,0.010309278350515464,0.7518041237113403,,,,
baseline,"Demographics Only -> humains v4, pool 120",,,,120.0,0.1325,0.07916666666666666,0.19458333333333336,,0.008333333333333333,,,,,
baseline,"Demographics Only <-> Text Persona - GPT4.1-mini, pool 120",,,,120.0,0.23687499999999997,0.17478125,0.30062500000000003,,0.008333333333333333,,,,,
baseline,"Demographics Only <-> JSON Persona - GPT4.1, pool 120",,,,120.0,0.3441666666666666,0.2704166666666667,0.42083333333333334,,0.008333333333333333,,,,,
decomposition_accord,B<->C,,,,,,,,,,,0.5418055555555555,0.519987761459724,0.5186134453781512,2.181779409583151
decomposition_accord,B<->M,,,,,,,,,,,0.5110149572649572,0.5111804628393414,0.514316688213747,-0.01655055743842171
decomposition_accord,B<->G,,,,,,,,,,,0.5305555555555556,0.5026079216733422,0.5005123716153128,2.794763388221333
decomposition_accord,B<->P,,,,,,,,,,,0.5248611111111111,0.49384549770063796,0.499548319327731,3.101561341047315
decomposition_accord,decodage seul (T=0 vs temperature par defaut),,,,,,,,,,,0.8372222222222222,0.5446554665479899,0.5418487394957983,29.25667556742323
decomposition_accord,gabarit seul (repetition des questions),,,,,,,,,,,0.7866666666666667,0.5263365969440735,0.5228699813258636,26.033006972259322
decomposition_accord,raisonnement seul (reasoning active),,,,,,,,,,,0.6504166666666666,0.44115524402907585,0.4408566760037349,20.92614226375908
decomposition_accord,modele seul (GPT4.1-mini vs Gemini-Flash2.5),,,,,,,,,,,0.5813888888888887,0.4095037828215399,0.4039869281045752,17.188510606734887
decomposition_accord,"format de persona seul (texte vs JSON, meme modele mini)",,,,,,,,,,,0.6366357970761256,0.45100052406881924,0.45060025215019317,18.563527300730637
