item,classe_norc,classe_comportement,m1_mode,m2_mode_plus_conception,m3_toutes_sources,rapport_retenu,famille_retenue,n_mesures_disponibles,pole_endogroupe,niveau_pole_endogroupe,source_pole_endogroupe,sources_ampleur,detail_ampleur
natspac/y,mixte,attitude,1.020000,1.020000,1.020000,MR099,mode,1,droite_bas,[CONFIRME],MR099 : le face a face donne moins de « trop » sur les 17 items et plus de « pas assez » sur 12 sur 17 ; Smith et Dennis refusent d'en conclure que le pole pro depense est le pole socialement desirable,MR099 = 1.02 points (mode),face a face 11.8/50.4/37.7 contre web 11.5/49.8/38.8 ; ampleur enoncee par NORC 1.1 points
natenvir/y,temoin,attitude,4.000000,4.000000,4.000000,MR099,mode,1,droite_bas,[CONFIRME],MR099 : le face a face donne moins de « trop » sur les 17 items et plus de « pas assez » sur 12 sur 17 ; Smith et Dennis refusent d'en conclure que le pole pro depense est le pole socialement desirable,MR099 = 4.0 points (mode),face a face 60.0/33.2/6.8 contre web 60.5/29.2/10.3 ; ampleur enoncee par NORC 3.5 points
natheal/y,mixte,attitude,5.530000,5.530000,5.530000,MR099,mode,1,droite_bas,[CONFIRME],MR099 : le face a face donne moins de « trop » sur les 17 items et plus de « pas assez » sur 12 sur 17 ; Smith et Dennis refusent d'en conclure que le pole pro depense est le pole socialement desirable,MR099 = 5.53 points (mode),face a face 74.9/21.3/3.9 contre web 69.3/25.1/5.6 ; ampleur enoncee par NORC 1.7 points
natcity/y,mixte,attitude,10.950000,10.950000,10.950000,MR099,mode,1,droite_bas,[CONFIRME],MR099 : le face a face donne moins de « trop » sur les 17 items et plus de « pas assez » sur 12 sur 17 ; Smith et Dennis refusent d'en conclure que le pole pro depense est le pole socialement desirable,MR099 = 10.95 points (mode),face a face 45.4/39.9/14.8 contre web 34.4/44.5/21.1 ; ampleur enoncee par NORC 6.3 points
natdrug/y,temoin,attitude,14.000000,14.000000,14.000000,MR099,mode,1,droite_bas,[CONFIRME],MR099 : le face a face donne moins de « trop » sur les 17 items et plus de « pas assez » sur 12 sur 17 ; Smith et Dennis refusent d'en conclure que le pole pro depense est le pole socialement desirable,MR099 = 14.0 points (mode),face a face 59.1/31.2/9.7 contre web 45.1/38.2/16.7 ; ampleur enoncee par NORC 7.0 points
nateduc/y,temoin,attitude,1.200000,1.200000,1.200000,MR099,mode,1,droite_bas,[CONFIRME],MR099 : le face a face donne moins de « trop » sur les 17 items et plus de « pas assez » sur 12 sur 17 ; Smith et Dennis refusent d'en conclure que le pole pro depense est le pole socialement desirable,MR099 = 1.2 points (mode),face a face 73.9/20.7/5.4 contre web 73.5/19.9/6.6 ; ampleur enoncee par NORC 1.2 points
natrace/y,sensible,attitude,13.800000,13.800000,13.800000,MR099,mode,1,droite_bas,[CONFIRME],"MR099 Table 3 : les depenses pour les Noirs portent la plus grande ampleur de mode des 17 items, 13,8 points, et le clivage partisan sur l'aide ciblee est etabli. Reserve explicite de la source : Smith et Dennis refusent de dire que le pole pro depense est le pole desirable",MR099 = 13.8 points (mode),face a face 32.7/49.0/18.3 contre web 23.0/44.9/32.1 ; ampleur enoncee par NORC 13.8 points
natarms/y,temoin,attitude,2.110000,2.110000,2.110000,MR099,mode,1,,,,MR099 = 2.11 points (mode),face a face 31.3/46.5/22.3 contre web 32.5/44.3/23.1 ; ampleur enoncee par NORC 0.8 points
nataid/y,temoin,attitude,8.500000,8.500000,8.500000,MR099,mode,1,,,,MR099 = 8.5 points (mode),face a face 6.7/27.8/65.5 contre web 6.1/19.9/74.0 ; ampleur enoncee par NORC 8.5 points
natfare/y,mixte,attitude,9.700000,9.700000,9.700000,MR099,mode,1,droite_bas,[CONFIRME],MR099 : le face a face donne moins de « trop » sur les 17 items et plus de « pas assez » sur 12 sur 17 ; Smith et Dennis refusent d'en conclure que le pole pro depense est le pole socialement desirable,MR099 = 9.7 points (mode),face a face 21.2/38.2/40.6 contre web 18.5/31.2/50.3 ; ampleur enoncee par NORC 9.7 points
natroad,sensible,attitude,0.360000,0.360000,0.360000,MR099,mode,1,droite_bas,[CONFIRME],MR099 : le face a face donne moins de « trop » sur les 17 items et plus de « pas assez » sur 12 sur 17 ; Smith et Dennis refusent d'en conclure que le pole pro depense est le pole socialement desirable,MR099 = 0.36 points (mode),face a face 35.7/51.7/12.7 contre web 35.3/51.9/12.8 ; ampleur enoncee par NORC 0.1 points
natsoc,temoin,attitude,2.330000,2.330000,2.330000,MR099,mode,1,droite_bas,[CONFIRME],MR099 : le face a face donne moins de « trop » sur les 17 items et plus de « pas assez » sur 12 sur 17 ; Smith et Dennis refusent d'en conclure que le pole pro depense est le pole socialement desirable,MR099 = 2.33 points (mode),face a face 60.8/34.6/4.6 contre web 62.4/32.3/5.4 ; ampleur enoncee par NORC 0.8 points
natmass,temoin,attitude,3.050000,3.050000,3.050000,MR099,mode,1,droite_bas,[CONFIRME],MR099 : le face a face donne moins de « trop » sur les 17 items et plus de « pas assez » sur 12 sur 17 ; Smith et Dennis refusent d'en conclure que le pole pro depense est le pole socialement desirable,MR099 = 3.05 points (mode),face a face 37.0/52.4/10.7 contre web 37.5/49.3/13.2 ; ampleur enoncee par NORC 2.5 points
natpark,temoin,attitude,6.700000,6.700000,6.700000,MR099,mode,1,droite_bas,[CONFIRME],MR099 : le face a face donne moins de « trop » sur les 17 items et plus de « pas assez » sur 12 sur 17 ; Smith et Dennis refusent d'en conclure que le pole pro depense est le pole socialement desirable,MR099 = 6.7 points (mode),face a face 35.0/59.5/5.5 contre web 37.8/52.8/9.4 ; ampleur enoncee par NORC 3.9 points
natchld,sensible,attitude,5.800000,5.800000,5.800000,MR099,mode,1,droite_bas,[CONFIRME],MR099 : le face a face donne moins de « trop » sur les 17 items et plus de « pas assez » sur 12 sur 17 ; Smith et Dennis refusent d'en conclure que le pole pro depense est le pole socialement desirable,MR099 = 5.8 points (mode),face a face 59.1/33.2/7.7 contre web 53.3/37.2/9.5 ; ampleur enoncee par NORC 1.8 points
natsci,temoin,attitude,4.800000,4.800000,4.800000,MR099,mode,1,droite_bas,[CONFIRME],MR099 : le face a face donne moins de « trop » sur les 17 items et plus de « pas assez » sur 12 sur 17 ; Smith et Dennis refusent d'en conclure que le pole pro depense est le pole socialement desirable,MR099 = 4.8 points (mode),face a face 36.4/49.7/13.9 contre web 31.6/52.4/16.0 ; ampleur enoncee par NORC 2.1 points
natenrgy,temoin,attitude,,,,,,0,droite_bas,[CONFIRME],MR099 : le face a face donne moins de « trop » sur les 17 items et plus de « pas assez » sur 12 sur 17 ; Smith et Dennis refusent d'en conclure que le pole pro depense est le pole socialement desirable,,
uswary,non teste,attitude,,20.480000,20.480000,MR141,conception,1,,,,MR141 = 20.48 points (conception),"modalite volontaire « Don't know », prise par 20.5 pour cent"
prayer,non teste,attitude,,17.680000,17.680000,MR141,conception,1,,,,MR141 = 17.68 points (conception),"modalite volontaire « No opinion », prise par 17.7 pour cent"
