item,bloc,n_reponses,n_modalites,retest_humain,r2_demographies,r2_voisins,B0 mode,B1 argmax,B2 argmax,"GPT-4.1-mini, persona texte","GPT-4.1-mini, persona texte, temperature par defaut","GPT-4.1-mini, persona texte, raisonnement","GPT-4.1-mini, persona texte, questions repetees","GPT-4.1-mini, persona JSON","GPT-4.1-mini, persona JSON, sortie predite","GPT-4.1-mini, resume de persona","GPT-4.1-mini, resume plus persona JSON","GPT-4.1-mini, affine sur 500 exemples","GPT-4.1-mini, demographies seules","GPT-4.1, persona JSON","GPT-4.1, persona JSON, sortie predite","Gemini-Flash-2.5, persona texte"
QID287_1,False consensus,2058,5,0.643343,0.110164,0.051079,0.377551,0.420797,0.401361,0.378523,0.368319,0.377065,0.386297,0.392000,0.358601,0.355199,0.395530,0.415918,0.282799,0.397473,0.405366,0.383868
QID287_2,False consensus,2058,5,0.549563,0.084727,0.063200,0.355685,0.413508,0.393586,0.410107,0.396501,0.398931,0.405248,0.384000,0.359086,0.311467,0.223518,0.366496,0.302235,0.418853,0.418049,0.350826
QID287_3,False consensus,2058,5,0.610787,0.116643,0.057916,0.344509,0.443149,0.424684,0.431973,0.431487,0.428571,0.425656,0.419000,0.402332,0.392128,0.394558,0.370347,0.365889,0.417881,0.415610,0.418853
QID287_4,False consensus,2058,5,0.671526,0.098752,0.042364,0.480564,0.501458,0.497085,0.441205,0.435860,0.441691,0.420797,0.427000,0.352770,0.446064,0.473275,0.317073,0.473761,0.453839,0.431707,0.413508
QID287_5,False consensus,2058,5,0.565598,-0.003368,0.019552,0.388727,0.425656,0.465500,0.358601,0.362488,0.395044,0.367347,0.369000,0.316327,0.324587,0.347911,0.367779,0.401846,0.358115,0.357561,0.326531
QID287_6,False consensus,2058,5,0.653061,0.117072,0.044408,0.387269,0.469874,0.437804,0.447036,0.447036,0.442663,0.446550,0.424000,0.438776,0.424684,0.446550,0.320924,0.419825,0.434402,0.422439,0.460155
QID287_7,False consensus,2058,5,0.668610,0.077008,0.039315,0.522352,0.544704,0.544704,0.521866,0.517979,0.521380,0.517007,0.500000,0.508260,0.505345,0.470845,0.288190,0.521380,0.492711,0.503415,0.468416
QID287_10,False consensus,2058,5,0.673955,0.073899,0.047857,0.536929,0.534985,0.546161,0.235180,0.231778,0.331876,0.277940,0.382000,0.377065,0.462585,0.440719,0.260591,0.451895,0.415938,0.369268,0.452867
QID287_11,False consensus,2058,5,0.613217,0.129983,0.062000,0.255102,0.413508,0.354227,0.332847,0.327988,0.292031,0.317298,0.217000,0.215743,0.222546,0.197279,0.190629,0.193392,0.256074,0.274146,0.348397
QID287_12,False consensus,2058,5,0.511662,0.004799,0.022360,0.324587,0.313411,0.349854,0.128280,0.125850,0.160350,0.152575,0.171000,0.154519,0.164237,0.122935,0.286264,0.115160,0.149660,0.168780,0.204568
QID158,Disease-loss,1055,6,0.360190,-0.095595,-0.015201,0.357346,0.290047,0.321327,0.144076,0.144076,0.125118,0.118483,0.185910,0.163033,0.185782,0.197156,0.111669,0.207583,0.288152,0.254286,0.168720
QID160_1,Linda-conjunction,1029,6,0.368319,-0.099028,-0.026851,0.404276,0.361516,0.386783,0.232264,0.211856,0.247813,0.292517,0.259843,0.076774,0.209913,0.173955,0.217335,0.269193,0.367347,0.387537,0.343052
QID160_2,Linda-conjunction,1029,6,0.396501,-0.090042,-0.013649,0.359572,0.307094,0.345967,0.259475,0.255588,0.232264,0.267250,0.281496,0.187561,0.282799,0.328474,0.208279,0.278912,0.295432,0.279455,0.170068
QID160_3,Linda-conjunction,1029,6,0.365403,-0.073330,-0.029435,0.348882,0.310010,0.324587,0.201166,0.194363,0.205053,0.200194,0.129921,0.120505,0.298348,0.276968,0.230272,0.246842,0.060253,0.095424,0.226433
QID161,Outcome bias - success,1052,7,0.519011,-0.097044,-0.028012,0.526616,0.491445,0.522814,0.522814,0.522814,0.513308,0.521863,0.436433,0.511407,0.518061,0.526616,0.444862,0.521863,0.262357,0.387775,0.437262
QID165,Anchoring - African countries high,1056,2,0.807765,-0.093757,-0.033463,0.815341,0.806818,0.815341,0.717803,0.675189,0.771780,0.404356,0.541016,0.184659,0.210227,0.194129,0.687578,0.186553,0.809659,0.812915,0.749053
QID169,Anchoring - redwood high,1009,2,0.777007,-0.025864,-0.008241,0.686819,0.669970,0.686819,0.686819,0.686819,0.686819,0.686819,0.698000,0.685828,0.686819,0.684836,0.668442,0.686819,0.686819,0.688557,0.658077
QID171,Less is More Gamble A,735,5,0.503401,-0.107843,-0.002013,0.412245,0.344218,0.429932,0.193197,0.198639,0.195918,0.146939,0.277008,0.167347,0.168707,0.186395,0.233456,0.175510,0.383673,0.324251,0.250340
QID174,Proportion dominance 1A,735,5,0.571429,-0.094166,0.028629,0.417687,0.394558,0.440816,0.434014,0.429932,0.419048,0.419048,0.390582,0.425850,0.414966,0.440816,0.351103,0.419048,0.331973,0.354223,0.408163
QID177,Proportion dominance 2A,735,6,0.463946,-0.090416,0.008984,0.269388,0.274830,0.348299,0.247619,0.255782,0.265306,0.265306,0.213296,0.231293,0.258503,0.238095,0.268382,0.258503,0.268027,0.290191,0.217687
QID184,Absolute vs. relative - jacket,1027,2,0.774099,-0.048427,-0.005315,0.708861,0.677702,0.705940,0.617332,0.615385,0.604674,0.580331,0.510593,0.296008,0.531646,0.408958,0.710292,0.387537,0.708861,0.702835,0.462512
QID191,WTA/WTP Thaler - WTP noncertainty,673,10,0.572065,-0.112394,-0.049827,0.383358,0.323923,0.358098,0.384844,0.377415,0.384844,0.350669,0.287879,0.213967,0.294205,0.240713,0.400778,0.210996,0.283804,0.326379,0.056464
QID192,Allais Form 1,1051,2,0.770695,-0.022776,0.026620,0.635585,0.608944,0.626070,0.635585,0.633682,0.635585,0.630828,0.615530,0.589914,0.569933,0.582303,0.648508,0.490010,0.627973,0.632634,0.594672
QID195,Myside German,1043,6,0.458293,-0.067766,0.001985,0.329818,0.325983,0.345158,0.266539,0.283797,0.296261,0.277085,0.297665,0.225312,0.263663,0.244487,0.260814,0.248322,0.263663,0.312200,0.272291
QID203_1,Probability matching vs. maximizing - Problem 2,1026,2,0.933723,-0.163109,0.010818,0.960039,0.960039,0.960039,0.960039,0.960039,0.960039,0.960039,0.967480,0.895712,0.960039,0.960039,0.961190,0.960039,0.960039,0.959883,0.960039
QID203_2,Probability matching vs. maximizing - Problem 2,1026,2,0.820663,-0.049803,-0.027307,0.866472,0.864522,0.866472,0.866472,0.866472,0.866472,0.866472,0.833333,0.809942,0.866472,0.866472,0.891332,0.866472,0.866472,0.867906,0.866472
QID203_3,Probability matching vs. maximizing - Problem 2,1026,2,0.717349,-0.053479,0.000194,0.658869,0.610136,0.659844,0.658869,0.658869,0.658869,0.658869,0.652439,0.612086,0.658869,0.658869,0.659767,0.658869,0.658869,0.657534,0.657895
QID203_4,Probability matching vs. maximizing - Problem 2,1026,2,0.745614,-0.059443,-0.005891,0.809942,0.797271,0.809942,0.809942,0.809942,0.809942,0.809942,0.794715,0.758285,0.809942,0.809942,0.816300,0.809942,0.809942,0.810176,0.809942
QID203_5,Probability matching vs. maximizing - Problem 2,1026,2,0.678363,-0.037995,0.028800,0.626706,0.593567,0.629630,0.626706,0.626706,0.626706,0.626706,0.593496,0.585770,0.626706,0.626706,0.626132,0.626706,0.626706,0.626223,0.625731
QID203_6,Probability matching vs. maximizing - Problem 2,1026,2,0.674464,-0.033584,0.006655,0.607212,0.587719,0.604288,0.607212,0.607212,0.607212,0.607212,0.609756,0.570175,0.607212,0.607212,0.588616,0.607212,0.607212,0.606654,0.607212
QID288_1,Non-experimental heuristics and biases,2058,7,0.572886,-0.024747,-0.002782,0.406220,0.422741,0.454810,0.416424,0.392128,0.414480,0.424198,0.408000,0.396016,0.415452,0.409135,0.155327,0.410107,0.405734,0.403415,0.402818
QID288_2,Non-experimental heuristics and biases,2058,7,0.496599,-0.025132,-0.008057,0.335277,0.343537,0.373178,0.167153,0.181244,0.104470,0.170068,0.122000,0.102527,0.117104,0.209913,0.118742,0.128280,0.174441,0.113659,0.115160
QID288_3,Non-experimental heuristics and biases,2058,7,0.396016,-0.023290,-0.014601,0.230807,0.211370,0.241497,0.164723,0.162293,0.189018,0.150632,0.172000,0.141885,0.146744,0.161808,0.224005,0.138970,0.155491,0.202439,0.208455
QID288_4,Non-experimental heuristics and biases,2058,7,0.411079,-0.023612,0.000610,0.282313,0.247813,0.276482,0.182216,0.164723,0.186589,0.182216,0.172000,0.162779,0.178328,0.189018,0.265083,0.177843,0.171040,0.166829,0.222546
QID289_1,Non-experimental heuristics and biases,2058,7,0.417396,-0.044340,-0.011185,0.316327,0.296404,0.305637,0.211856,0.209913,0.266278,0.184159,0.238000,0.193878,0.254616,0.210884,0.230424,0.229349,0.289116,0.246341,0.279397
QID289_2,Non-experimental heuristics and biases,2058,7,0.488824,-0.033791,-0.017486,0.365403,0.345967,0.374150,0.301263,0.264334,0.351312,0.340622,0.365000,0.335763,0.122449,0.118562,0.348524,0.180758,0.327502,0.364878,0.354227
QID289_3,Non-experimental heuristics and biases,2058,7,0.447036,-0.039784,-0.017473,0.317784,0.317298,0.338678,0.326045,0.330904,0.317298,0.313411,0.330000,0.290573,0.289602,0.112731,0.280488,0.276968,0.316812,0.320488,0.298834
