item_as,groupe,parti_as,source_modele,cle_modele,modele,ancrage,camp,identite,item_gss,variante,camp_est_celui_decrit_par_ahler_sood,realite_ahler_sood_anes2012,realite_gss2024,croyance_humaine,croyance_humaine_ic_bas,croyance_humaine_ic_haut,croyance_modele,exageration_humaine_ratio_as,exageration_modele_ratio_as,exageration_humaine_points_as,exageration_modele_points_as,exageration_humaine_ratio_gss,exageration_modele_ratio_gss,exageration_humaine_points_gss,exageration_modele_points_gss,exageration_modele_ratio_base_propre,exageration_humaine_ratio_base_propre,rapport_des_exagerations_base_propre,rapport_des_exagerations_cible_commune,ecart_des_exagerations_points_gss,note_pont
dem_union,Union,Democratic,"traces r1 (mode description, item du GSS)",oss20,gpt-oss-20b,ideologie,gauche,journaliste,union1,principale,True,10.5,5.515587529976019,38.783,37.06985,40.507275,17.0,3.693619047619048,1.619047619047619,28.283,6.5,7.031526521739131,3.0821739130434787,33.267412470023984,11.484412470023981,3.0821739130434787,3.693619047619048,0.8344590693591657,0.43833638449836265,-21.783,union1 demande l'appartenance du repondant ou de son conjoint ; on ne somme que les deux modalites ou le repondant lui meme est syndique
rep_evang,Evangelical,Republican,"traces r1 (mode description, item du GSS)",oss20,gpt-oss-20b,ideologie,gauche,journaliste,reborn,principale,False,34.3,17.026378896882495,43.079,41.33,44.783075,12.0,1.2559475218658893,0.34985422740524785,8.779000000000003,-22.299999999999997,2.5301328169014083,0.7047887323943661,26.052621103117506,-5.026378896882495,0.7047887323943661,1.2559475218658893,0.561160972193569,0.2785579980965203,-31.079,"« ne de nouveau » est un substitut d'evangelique, pas une traduction ; l'ecart de definition est declare et il va dans le sens d'une part plus large que celle d'Ahler et Sood"
dem_union,Union,Democratic,"traces r1 (mode description, item du GSS)",oss20,gpt-oss-20b,ideologie,gauche,adversaire,union1,principale,True,10.5,5.515587529976019,38.783,37.06985,40.507275,17.0,3.693619047619048,1.619047619047619,28.283,6.5,7.031526521739131,3.0821739130434787,33.267412470023984,11.484412470023981,3.0821739130434787,3.693619047619048,0.8344590693591657,0.43833638449836265,-21.783,union1 demande l'appartenance du repondant ou de son conjoint ; on ne somme que les deux modalites ou le repondant lui meme est syndique
rep_evang,Evangelical,Republican,"traces r1 (mode description, item du GSS)",oss20,gpt-oss-20b,ideologie,gauche,adversaire,reborn,principale,False,34.3,17.026378896882495,43.079,41.33,44.783075,5.0,1.2559475218658893,0.1457725947521866,8.779000000000003,-29.299999999999997,2.5301328169014083,0.2936619718309859,26.052621103117506,-12.026378896882495,0.2936619718309859,1.2559475218658893,0.23381707174732042,0.11606583254021681,-38.079,"« ne de nouveau » est un substitut d'evangelique, pas une traduction ; l'ecart de definition est declare et il va dans le sens d'une part plus large que celle d'Ahler et Sood"
dem_union,Union,Democratic,"traces r1 (mode description, item du GSS)",oss20,gpt-oss-20b,ideologie,centre,journaliste,union1,principale,False,10.5,6.270627062706271,38.783,37.06985,40.507275,16.0,3.693619047619048,1.5238095238095237,28.283,5.5,6.1848678947368425,2.551578947368421,32.51237293729373,9.729372937293729,2.551578947368421,3.693619047619048,0.6908072853407013,0.41255189129257663,-22.783000000000005,union1 demande l'appartenance du repondant ou de son conjoint ; on ne somme que les deux modalites ou le repondant lui meme est syndique
rep_evang,Evangelical,Republican,"traces r1 (mode description, item du GSS)",oss20,gpt-oss-20b,ideologie,centre,journaliste,reborn,principale,False,34.3,26.072607260726073,43.079,41.33,44.783075,12.0,1.2559475218658893,0.34985422740524785,8.779000000000003,-22.299999999999997,1.6522705063291139,0.460253164556962,17.006392739273927,-14.072607260726073,0.460253164556962,1.2559475218658893,0.36645891372371214,0.2785579980965203,-31.079,"« ne de nouveau » est un substitut d'evangelique, pas une traduction ; l'ecart de definition est declare et il va dans le sens d'une part plus large que celle d'Ahler et Sood"
dem_union,Union,Democratic,"traces r1 (mode description, item du GSS)",oss20,gpt-oss-20b,ideologie,centre,adversaire,union1,principale,False,10.5,6.270627062706271,38.783,37.06985,40.507275,7.000000000000001,3.693619047619048,0.6666666666666667,28.283,-3.499999999999999,6.1848678947368425,1.1163157894736844,32.51237293729373,0.7293729372937303,1.1163157894736844,3.693619047619048,0.3022281873365569,0.1804914524405023,-31.783,union1 demande l'appartenance du repondant ou de son conjoint ; on ne somme que les deux modalites ou le repondant lui meme est syndique
rep_evang,Evangelical,Republican,"traces r1 (mode description, item du GSS)",oss20,gpt-oss-20b,ideologie,centre,adversaire,reborn,principale,False,34.3,26.072607260726073,43.079,41.33,44.783075,12.0,1.2559475218658893,0.34985422740524785,8.779000000000003,-22.299999999999997,1.6522705063291139,0.460253164556962,17.006392739273927,-14.072607260726073,0.460253164556962,1.2559475218658893,0.36645891372371214,0.2785579980965203,-31.079,"« ne de nouveau » est un substitut d'evangelique, pas une traduction ; l'ecart de definition est declare et il va dans le sens d'une part plus large que celle d'Ahler et Sood"
dem_union,Union,Democratic,"traces r1 (mode description, item du GSS)",oss20,gpt-oss-20b,ideologie,droite,journaliste,union1,principale,False,10.5,4.819277108433735,38.783,37.06985,40.507275,7.000000000000001,3.693619047619048,0.6666666666666667,28.283,-3.499999999999999,8.0474725,1.4525000000000001,33.96372289156626,2.1807228915662655,1.4525000000000001,3.693619047619048,0.3932457520047444,0.1804914524405023,-31.782999999999998,union1 demande l'appartenance du repondant ou de son conjoint ; on ne somme que les deux modalites ou le repondant lui meme est syndique
rep_evang,Evangelical,Republican,"traces r1 (mode description, item du GSS)",oss20,gpt-oss-20b,ideologie,droite,journaliste,reborn,principale,True,34.3,44.87951807228915,43.079,41.33,44.783075,35.0,1.2559475218658893,1.0204081632653061,8.779000000000003,0.7000000000000028,0.9598810738255035,0.7798657718120806,-1.800518072289151,-9.879518072289152,0.7798657718120806,1.2559475218658893,0.6209381827144168,0.8124608277815176,-8.079,"« ne de nouveau » est un substitut d'evangelique, pas une traduction ; l'ecart de definition est declare et il va dans le sens d'une part plus large que celle d'Ahler et Sood"
