var_personne,var_item,var_residu,var_interaction,var_transitoire,part_personne,part_item,part_residu,part_interaction,part_transitoire,rapport_interaction_personne,borne_superieure,n_cellules,perimetre,condition,famille_condition,support
0.004122,0.034120,0.086440,,,0.033061,0.273656,0.693283,,,20.969578,True,10645,150,agents composite,riche,une occasion
0.003304,0.036167,0.093593,,,0.024830,0.271803,0.703367,,,28.326824,True,10624,150,agents entretien (v3),riche,une occasion
0.002400,0.036709,0.087685,,,0.018928,0.289517,0.691556,,,36.536906,True,10628,150,agents enquete,riche,une occasion
0.000399,0.051851,0.052974,,,0.003797,0.492767,0.503437,,,132.602486,True,10625,150,agents demographiques (v6),etiquette,une occasion
0.003335,0.054716,0.052370,,,0.030199,0.495522,0.474279,,,15.704883,True,10629,150,agents v7,riche,une occasion
0.004057,0.026343,0.089296,,,0.033891,0.220084,0.746025,,,22.012290,True,10636,150,agents v8,etiquette,une occasion
0.002211,0.038544,0.062209,,,0.021475,0.374342,0.604183,,,28.134779,True,10650,150,C2,etiquette,une occasion
0.003412,0.074794,0.061531,,,0.024416,0.535246,0.440337,,,18.034664,True,10650,150,C3,riche,une occasion
0.001962,0.028430,0.097776,,,0.015310,0.221819,0.762871,,,49.829416,True,10650,150,PMM k=5,imputation par tirage,une occasion
0.002227,0.027258,0.096813,,,0.017630,0.215822,0.766548,,,43.480908,True,10650,150,PMM k=10,imputation par tirage,une occasion
0.001255,0.037943,0.083183,,,0.010258,0.310038,0.679704,,,66.259504,True,10650,150,IM m=10 mode des m,imputation multiple,une occasion
0.000000,0.098258,0.002280,,,0.000000,0.977321,0.022679,,,,True,10650,150,B0 mode,aveugle,une occasion
0.000684,0.051058,0.073506,,,0.005465,0.407653,0.586881,,,107.387042,True,10650,150,B1 argmax,statistique,une occasion
0.000584,0.059224,0.058445,,,0.004943,0.500821,0.494237,,,99.992569,True,10650,150,B2 argmax,statistique,une occasion
0.000104,0.067728,0.050464,,,0.000883,0.572527,0.426589,,,482.924285,True,10650,150,B3 foret,statistique,une occasion
0.001985,0.025365,0.098577,,,0.015765,0.201424,0.782811,,,49.654780,True,10650,150,humains vague 2,plancher,une occasion
0.000000,0.026438,0.000000,,,0.000000,0.999996,0.000003,,,46.176087,True,10650,150,moyenne d'item LOO,,une occasion
0.002013,0.025251,0.082220,0.064323,0.035795,0.015803,0.198228,,0.504965,0.281005,31.953652,False,10650,150,"humains, deux vagues",plancher,deux occasions
0.002197,0.025191,0.101440,,,0.017052,0.195537,0.787411,,,46.176087,True,10650,150,humains vague 1,plancher,une occasion
0.004612,0.033752,0.089196,,,0.036152,0.264595,0.699253,,,19.341952,True,74660,1052,agents composite,riche,une occasion
0.003551,0.036089,0.096023,,,0.026179,0.266020,0.707801,,,27.037362,True,74507,1052,agents entretien (v3),riche,une occasion
0.003293,0.036624,0.088792,,,0.025589,0.284548,0.689864,,,26.959909,True,74586,1052,agents enquete,riche,une occasion
0.000362,0.048615,0.052562,,,0.003567,0.478783,0.517651,,,145.134395,True,74500,1052,agents demographiques (v6),etiquette,une occasion
0.002673,0.055599,0.052755,,,0.024079,0.500768,0.475153,,,19.733035,True,74611,1052,agents v7,riche,une occasion
0.004182,0.024613,0.095898,,,0.033536,0.197387,0.769077,,,22.933026,True,74549,1052,agents v8,etiquette,une occasion
0.002324,0.029340,0.098815,,,0.017810,0.224865,0.757325,,,42.522798,True,74692,1052,PMM k=5,imputation par tirage,une occasion
0.002272,0.029470,0.098033,,,0.017510,0.227083,0.755407,,,43.141367,True,74692,1052,PMM k=10,imputation par tirage,une occasion
0.001832,0.038814,0.084855,,,0.014597,0.309275,0.676128,,,46.319936,True,74692,1052,IM m=10 mode des m,imputation multiple,une occasion
0.000000,0.098269,0.002264,,,0.000000,0.977477,0.022523,,,,True,74692,1052,B0 mode,aveugle,une occasion
0.000690,0.048919,0.074530,,,0.005561,0.394067,0.600372,,,107.961237,True,74692,1052,B1 argmax,statistique,une occasion
0.000550,0.061332,0.057954,,,0.004592,0.511801,0.483607,,,105.317982,True,74692,1052,B2 argmax,statistique,une occasion
0.000104,0.067767,0.050192,,,0.000882,0.573988,0.425130,,,482.096601,True,74692,1052,B3 foret,statistique,une occasion
0.002738,0.026597,0.101713,,,0.020891,0.202959,0.776150,,,37.151529,True,74692,1052,humains vague 2,plancher,une occasion
0.000000,0.026437,0.000000,,,0.000000,0.999996,0.000004,,,38.404064,True,74692,1052,moyenne d'item LOO,,une occasion
0.002486,0.026449,0.084814,0.067276,0.035075,0.018938,0.201462,,0.512435,0.267166,27.058972,False,74692,1052,"humains, deux vagues",plancher,deux occasions
0.002669,0.026340,0.102518,,,0.020296,0.200261,0.779443,,,38.404064,True,74692,1052,humains vague 1,plancher,une occasion
