perimetre,condition,mecanisme,cellules,valeur,temoin,exces,valeur_humains,ecart_aux_humains,valeur_raretes_justes,lift
1052,agents composite,H1a deplacement dans la famille,1584,0.489899,0.308858,0.181041,0.420765,0.069134,0.791803,1.586163
1052,agents composite,H2a rarete modale du segment,714,0.518207,0.466291,0.051916,0.543264,-0.025057,0.576014,1.111339
1052,agents composite,H3 position extreme,3337,0.777045,0.770181,0.006864,0.597052,0.179994,0.662671,1.008912
1052,agents composite,H5 rarete du contexte,3337,0.043869,0.035962,0.007907,0.044776,-0.000907,0.049448,1.219862
1052,agents composite,H1b exces de rarete de la personne,3337,0.043643,0.036019,0.007623,0.044669,-0.001026,0.049214,1.211647
1052,agents composite,H2b exces de rarete du segment,3337,0.128910,0.095967,0.032943,0.112288,0.016622,0.146328,1.343271
1052,agents entretien (v3),H1a deplacement dans la famille,1904,0.437500,0.315514,0.121986,0.420765,0.016735,0.758735,1.386626
1052,agents entretien (v3),H2a rarete modale du segment,864,0.540509,0.478174,0.062335,0.543264,-0.002755,0.593750,1.130361
1052,agents entretien (v3),H3 position extreme,3785,0.781506,0.775063,0.006443,0.597052,0.184454,0.651246,1.008313
1052,agents entretien (v3),H5 rarete du contexte,3785,0.039700,0.036009,0.003691,0.044776,-0.005075,0.047855,1.102509
1052,agents entretien (v3),H1b exces de rarete de la personne,3785,0.039878,0.036046,0.003832,0.044669,-0.004790,0.047742,1.106314
1052,agents entretien (v3),H2b exces de rarete du segment,3785,0.127697,0.091990,0.035707,0.112288,0.015409,0.153152,1.388166
1052,agents enquete,H1a deplacement dans la famille,1409,0.468417,0.276078,0.192339,0.420765,0.047652,0.817851,1.696683
1052,agents enquete,H2a rarete modale du segment,1119,0.504915,0.375652,0.129263,0.543264,-0.038349,0.677895,1.344104
1052,agents enquete,H3 position extreme,3963,0.673732,0.694510,-0.020778,0.597052,0.076680,0.649696,0.970083
1052,agents enquete,H5 rarete du contexte,3963,0.043521,0.036297,0.007224,0.044776,-0.001255,0.054374,1.199028
1052,agents enquete,H1b exces de rarete de la personne,3963,0.043265,0.036090,0.007175,0.044669,-0.001404,0.054003,1.198810
1052,agents enquete,H2b exces de rarete du segment,3963,0.117804,0.085483,0.032320,0.112288,0.005515,0.152322,1.378088
